# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.629259
0.008829	-0.633429
0.012400	-0.617834
0.013664	-0.601441
0.017415	-0.633154
0.018281	-0.592651
0.019190	-0.580170
0.022197	-0.657387
0.024459	-0.625146
0.025675	-0.647599
0.026951	-0.604573
0.028291	-0.659713
0.029698	-0.686823
0.031174	-0.689316
0.032724	-0.684178
0.034351	-0.739105
0.036059	-0.675489
0.037852	-0.663433
0.039733	-0.728949
0.041709	-0.666792
0.043782	-0.619649
0.045959	-0.670322
0.048244	-0.694152
0.050643	-0.696839
0.053160	-0.726381
0.055803	-0.748239
0.058578	-0.704838
0.061490	-0.707808
0.064547	-0.741822
0.067756	-0.683150
0.071125	-0.739001
0.074661	-0.759850
0.078373	-0.757920
0.082269	-0.764249
0.086359	-0.756988
0.090653	-0.781172
0.095160	-0.801330
0.099891	-0.796183
0.104857	-0.814954
0.110070	-0.812148
0.115543	-0.825688
0.121287	-0.828544
0.127317	-0.845863
0.133647	-0.851910
0.140291	-0.860775
0.147266	-0.872082
0.154588	-0.879771
0.162273	-0.894447
0.170341	-0.898145
0.178810	-0.900424
0.187699	-0.913216
0.197031	-0.918342
0.206827	-0.925437
0.217110	-0.930826
0.227904	-0.938121
0.239234	-0.946584
0.251128	-0.953895
0.263613	-0.959658
0.276719	-0.964135
0.290477	-0.969126
0.304919	-0.973828
0.320078	-0.977629
0.335991	-0.981195
0.352696	-0.984266
0.370231	-0.986717
0.388637	-0.989093
0.407959	-0.990694
0.428241	-0.992819
0.449532	-0.994330
0.471881	-0.995611
0.495342	-0.996504
0.519968	-0.997290
0.545820	-0.997920
0.572956	-0.998539
0.601441	-0.998902
0.631343	-0.999141
0.662731	-0.999156
0.695680	-0.999140
