# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.859874
0.008829	-0.857940
0.012400	-0.845220
0.013664	-0.835944
0.017415	-0.849582
0.018281	-0.820196
0.019190	-0.824199
0.022197	-0.873056
0.024459	-0.849694
0.025675	-0.867387
0.026951	-0.830136
0.028291	-0.877875
0.029698	-0.887512
0.031174	-0.890743
0.032724	-0.883461
0.034351	-0.918777
0.036059	-0.880922
0.037852	-0.870488
0.039733	-0.906546
0.041709	-0.879353
0.043782	-0.851541
0.045959	-0.869434
0.048244	-0.888762
0.050643	-0.888856
0.053160	-0.896498
0.055803	-0.911984
0.058578	-0.886827
0.061490	-0.888430
0.064547	-0.908857
0.067756	-0.881159
0.071125	-0.904099
0.074661	-0.909872
0.078373	-0.916646
0.082269	-0.909408
0.086359	-0.903956
0.090653	-0.918330
0.095160	-0.927399
0.099891	-0.922995
0.104857	-0.930758
0.110070	-0.927324
0.115543	-0.934320
0.121287	-0.933551
0.127317	-0.938561
0.133647	-0.939449
0.140291	-0.943859
0.147266	-0.945871
0.154588	-0.950302
0.162273	-0.955474
0.170341	-0.954964
0.178810	-0.954720
0.187699	-0.959501
0.197031	-0.961996
0.206827	-0.963889
0.217110	-0.965839
0.227904	-0.968643
0.239234	-0.971981
0.251128	-0.975113
0.263613	-0.977662
0.276719	-0.979779
0.290477	-0.981992
0.304919	-0.984289
0.320078	-0.986101
0.335991	-0.988237
0.352696	-0.989723
0.370231	-0.991122
0.388637	-0.992484
0.407959	-0.993464
0.428241	-0.994751
0.449532	-0.995682
0.471881	-0.996609
0.495342	-0.997181
0.519968	-0.997773
0.545820	-0.998240
0.572956	-0.998723
0.601441	-0.998996
0.631343	-0.999228
0.662731	-0.999265
0.695680	-0.999996
