# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	699.040026
0.034951	1348.824609
0.043030	546.672099
0.048748	194.252577
0.055226	452.326069
0.060016	462.072909
0.067991	705.345180
0.073889	769.191793
0.077026	500.186097
0.080297	381.647648
0.083707	835.562295
0.087262	1148.725792
0.090968	519.909359
0.098858	270.911488
0.103056	676.357158
0.107432	1189.886333
0.111994	591.447929
0.116750	477.771241
0.121708	637.587538
0.126876	655.311571
0.132264	564.503256
0.137881	426.349354
0.143736	714.630140
0.149840	658.585460
0.156203	448.817586
0.162837	469.800185
0.169751	370.799095
0.176960	529.252972
0.184475	447.286214
0.192309	400.572398
0.200475	365.139766
0.208989	385.753898
0.217863	393.445288
0.227115	391.699315
0.236760	360.664389
0.246814	348.562250
0.257295	328.446946
0.268221	332.406801
0.279612	285.104973
0.291486	275.058107
0.303864	258.796080
0.316767	255.332037
0.330219	220.139879
0.344242	212.380191
0.358861	189.354352
0.374100	200.056461
0.389987	178.469797
0.406548	159.671365
0.423812	152.409715
0.441809	141.839929
0.460571	130.095482
0.480130	114.728762
0.500519	111.539787
0.521774	101.182013
0.543931	93.425694
0.567030	84.324613
0.591109	78.462462
0.616211	71.498034
0.642379	65.060417
0.669658	59.821163
0.698095	56.379839
0.727741	53.968758
0.758645	51.645138
0.790861	49.871955
0.824446	46.275327
0.859456	42.247963
0.895954	40.941924
0.934001	40.785488
0.973664	43.915652
1.015012	46.827339
1.058115	50.467712
1.103048	53.794569
1.149890	57.453933
1.198721	65.846162
1.249626	77.139269
1.302692	114.064189
1.358012	186.432574
