# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	2375.747460
0.034951	4532.995333
0.043030	1827.834203
0.048748	645.699303
0.055226	1518.213380
0.060016	1560.624689
0.067991	2345.952832
0.073889	2604.126971
0.077026	1678.609320
0.080297	1290.450768
0.083707	2744.676389
0.087262	3810.329448
0.090968	1731.321951
0.098858	838.159692
0.103056	2237.785662
0.107432	4021.533924
0.111994	1970.895712
0.116750	1579.445537
0.121708	2050.264091
0.126876	2149.221019
0.132264	1871.266483
0.137881	1294.617221
0.143736	2328.379174
0.149840	2123.954448
0.156203	1482.464993
0.162837	1520.722590
0.169751	1218.059470
0.176960	1717.508552
0.184475	1428.156437
0.192309	1274.601042
0.200475	1175.923408
0.208989	1267.933979
0.217863	1242.334934
0.227115	1235.064856
0.236760	1160.166340
0.246814	1128.813918
0.257295	1060.198937
0.268221	1062.620661
0.279612	912.869392
0.291486	872.788686
0.303864	856.396885
0.316767	844.738314
0.330219	750.285585
0.344242	708.657443
0.358861	637.870992
0.374100	660.049882
0.389987	594.807280
0.406548	522.450349
0.423812	505.833091
0.441809	480.697680
0.460571	453.923801
0.480130	407.446149
0.500519	396.814337
0.521774	361.671625
0.543931	337.021565
0.567030	309.088716
0.591109	297.458683
0.616211	277.371498
0.642379	255.798634
0.669658	242.496574
0.698095	230.820426
0.727741	221.314554
0.758645	218.011170
0.790861	217.473048
0.824446	207.717669
0.859456	196.418056
0.895954	188.105794
0.934001	183.572925
0.973664	189.722131
1.015012	194.885440
1.058115	203.841375
1.103048	210.509772
1.149890	211.563274
1.198721	235.389442
1.249626	270.620201
1.302692	284.217551
1.358012	315.262521
