# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	0.000381
0.008829	-0.007519
0.012400	-0.006878
0.013664	-0.001862
0.017415	-0.087648
0.018281	0.003828
0.019190	0.001570
0.022197	-0.004352
0.024459	-0.009626
0.025675	-0.012882
0.026951	0.002166
0.028291	-0.032913
0.029698	-0.031742
0.031174	-0.020916
0.032724	-0.030426
0.034351	-0.058624
0.036059	-0.025774
0.037852	-0.061781
0.039733	-0.075698
0.041709	-0.045506
0.043782	-0.021402
0.045959	-0.054486
0.048244	-0.046228
0.050643	-0.055848
0.053160	-0.082533
0.055803	-0.093510
0.058578	-0.084743
0.061490	-0.081632
0.064547	-0.102413
0.067756	-0.072830
0.071125	-0.104675
0.074661	-0.131739
0.078373	-0.133713
0.082269	-0.156006
0.086359	-0.145541
0.090653	-0.172221
0.095160	-0.179502
0.099891	-0.187180
0.104857	-0.218030
0.110070	-0.228372
0.115543	-0.262613
0.121287	-0.264977
0.127317	-0.305380
0.133647	-0.320709
0.140291	-0.325579
0.147266	-0.352569
0.154588	-0.377867
0.162273	-0.409000
0.170341	-0.428851
0.178810	-0.453103
0.187699	-0.498439
0.197031	-0.503066
0.206827	-0.541711
0.217110	-0.561889
0.227904	-0.602646
0.239234	-0.631498
0.251128	-0.657578
0.263613	-0.692706
0.276719	-0.712613
0.290477	-0.736642
0.304919	-0.763804
0.320078	-0.788878
0.335991	-0.809110
0.352696	-0.827511
0.370231	-0.842267
0.388637	-0.859135
0.407959	-0.875797
0.428241	-0.895165
0.449532	-0.907154
0.471881	-0.918862
0.495342	-0.925735
0.519968	-0.933482
0.545820	-0.942217
0.572956	-0.952429
0.601441	-0.956574
0.631343	-0.958356
0.662731	-0.950906
0.695680	-0.962105
