# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	0.000403
0.008829	-0.009191
0.012400	-0.008538
0.013664	-0.002249
0.017415	-0.107344
0.018281	0.004671
0.019190	0.001490
0.022197	-0.005955
0.024459	-0.011955
0.025675	-0.015955
0.026951	0.001505
0.028291	-0.040942
0.029698	-0.038937
0.031174	-0.027024
0.032724	-0.038598
0.034351	-0.072711
0.036059	-0.033582
0.037852	-0.076164
0.039733	-0.092943
0.041709	-0.057296
0.043782	-0.028485
0.045959	-0.068179
0.048244	-0.057659
0.050643	-0.070465
0.053160	-0.102107
0.055803	-0.115268
0.058578	-0.104166
0.061490	-0.102504
0.064547	-0.126928
0.067756	-0.091268
0.071125	-0.130557
0.074661	-0.161646
0.078373	-0.164025
0.082269	-0.191020
0.086359	-0.179507
0.090653	-0.210071
0.095160	-0.219989
0.099891	-0.226545
0.104857	-0.261639
0.110070	-0.275344
0.115543	-0.312220
0.121287	-0.316422
0.127317	-0.359447
0.133647	-0.374604
0.140291	-0.381561
0.147266	-0.411459
0.154588	-0.437607
0.162273	-0.472111
0.170341	-0.491998
0.178810	-0.516485
0.187699	-0.564033
0.197031	-0.567072
0.206827	-0.604622
0.217110	-0.624308
0.227904	-0.663522
0.239234	-0.690942
0.251128	-0.716064
0.263613	-0.747702
0.276719	-0.765792
0.290477	-0.787283
0.304919	-0.811315
0.320078	-0.832232
0.335991	-0.849496
0.352696	-0.864502
0.370231	-0.877132
0.388637	-0.889808
0.407959	-0.903582
0.428241	-0.918907
0.449532	-0.928422
0.471881	-0.938264
0.495342	-0.943810
0.519968	-0.950115
0.545820	-0.956663
0.572956	-0.965016
0.601441	-0.968588
0.631343	-0.970447
0.662731	-0.970743
0.695680	-0.998448
