# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001577	-0.111240
0.002200	-0.114288
0.003068	-0.116159
0.003428	-0.111521
0.004279	-0.112392
0.004523	-0.120867
0.004781	-0.112135
0.005646	-0.110715
0.006308	-0.116143
0.006668	-0.116533
0.007048	-0.109688
0.007450	-0.115525
0.007875	-0.116807
0.008324	-0.116469
0.008799	-0.113656
0.009300	-0.115585
0.009831	-0.115249
0.010391	-0.122907
0.010984	-0.119172
0.011610	-0.117319
0.012272	-0.121212
0.012972	-0.122040
0.013711	-0.125216
0.014493	-0.123606
0.015319	-0.123317
0.016193	-0.125141
0.017116	-0.128629
0.018092	-0.130652
0.019124	-0.132834
0.020214	-0.133189
0.021367	-0.138911
0.022585	-0.142999
0.023873	-0.147300
0.025234	-0.150513
0.026672	-0.158041
0.028193	-0.163654
0.029801	-0.167173
0.031500	-0.174784
0.033296	-0.177802
0.035195	-0.186357
0.037201	-0.194290
0.039322	-0.204742
0.041565	-0.212001
0.043934	-0.227294
0.046439	-0.236971
0.049087	-0.251952
0.051886	-0.265792
0.054845	-0.280753
0.057972	-0.297213
0.061277	-0.316358
0.064771	-0.335647
0.068464	-0.360214
0.072368	-0.380440
0.076494	-0.407306
0.080856	-0.435697
0.085466	-0.466068
0.090339	-0.494070
0.095490	-0.525574
0.100935	-0.558920
0.106690	-0.594773
0.112773	-0.627969
0.119203	-0.660296
0.126000	-0.696337
0.133184	-0.730600
0.140778	-0.764833
0.148805	-0.796510
0.157290	-0.824684
0.166258	-0.850763
0.175738	-0.871448
0.185758	-0.889447
0.196350	-0.904306
0.207545	-0.919672
0.219379	-0.932064
0.231887	-0.940450
0.245109	-0.946455
0.259085	-0.950348
0.273857	-0.954763
0.289472	-0.959986
0.305977	-0.960943
0.323423	-0.960828
0.341864	-0.962571
