# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001577	-0.094010
0.002200	-0.096369
0.003068	-0.098103
0.003428	-0.094477
0.004279	-0.094861
0.004523	-0.102387
0.004781	-0.094894
0.005646	-0.093344
0.006308	-0.098872
0.006668	-0.099013
0.007048	-0.092915
0.007450	-0.097072
0.007875	-0.098736
0.008324	-0.098559
0.008799	-0.096527
0.009300	-0.098247
0.009831	-0.097942
0.010391	-0.105373
0.010984	-0.100904
0.011610	-0.099424
0.012272	-0.103646
0.012972	-0.104257
0.013711	-0.107632
0.014493	-0.105422
0.015319	-0.105861
0.016193	-0.107564
0.017116	-0.110734
0.018092	-0.112956
0.019124	-0.114990
0.020214	-0.115904
0.021367	-0.120253
0.022585	-0.125254
0.023873	-0.128759
0.025234	-0.132597
0.026672	-0.139481
0.028193	-0.145364
0.029801	-0.148415
0.031500	-0.155851
0.033296	-0.158644
0.035195	-0.166975
0.037201	-0.175236
0.039322	-0.185194
0.041565	-0.192049
0.043934	-0.207501
0.046439	-0.216764
0.049087	-0.231927
0.051886	-0.245425
0.054845	-0.260122
0.057972	-0.276098
0.061277	-0.295017
0.064771	-0.314164
0.068464	-0.338537
0.072368	-0.358076
0.076494	-0.384913
0.080856	-0.413118
0.085466	-0.443549
0.090339	-0.471616
0.095490	-0.502752
0.100935	-0.536393
0.106690	-0.572316
0.112773	-0.605923
0.119203	-0.638403
0.126000	-0.675144
0.133184	-0.710081
0.140778	-0.745165
0.148805	-0.777897
0.157290	-0.807098
0.166258	-0.834372
0.175738	-0.856094
0.185758	-0.875131
0.196350	-0.890911
0.207545	-0.906681
0.219379	-0.919336
0.231887	-0.927572
0.245109	-0.933297
0.259085	-0.936604
0.273857	-0.940581
0.289472	-0.945243
0.305977	-0.944752
0.323423	-0.943158
0.341864	-0.945962
