# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k)-P_lin(k))/P_lin(k) [(Mpc/h)^3]
0.006330	-0.556363
0.008647	0.024489
0.010427	-0.410580
0.012573	-0.359813
0.013383	-0.394186
0.015161	-0.492389
0.017176	-0.811148
0.018281	-0.427062
0.019458	-0.556983
0.020710	-0.607365
0.022043	-0.548881
0.023462	-0.395115
0.024973	-0.148067
0.026580	-0.525246
0.028291	-0.354822
0.030112	-0.579772
0.032051	-0.413149
0.034114	-0.534594
0.036310	-0.420042
0.038647	-0.420664
0.041135	-0.473212
0.043782	-0.376452
0.046601	-0.393068
0.049600	-0.370715
0.052793	-0.382463
0.056192	-0.367725
0.059809	-0.421106
0.063658	-0.412932
0.067756	-0.373534
0.072118	-0.389298
0.076760	-0.364684
0.081701	-0.394289
0.086960	-0.407257
0.092558	-0.389943
0.098516	-0.431304
0.104857	-0.409329
0.111607	-0.394420
0.118791	-0.425110
0.126437	-0.425193
0.134576	-0.412274
0.143239	-0.430868
0.152459	-0.415340
0.162273	-0.428416
0.172719	-0.438818
0.183837	-0.436880
0.195670	-0.435770
0.208266	-0.435488
0.221672	-0.434387
0.235941	-0.442473
0.251128	-0.436474
0.267293	-0.440163
0.284499	-0.442891
0.302812	-0.437535
0.322304	-0.440885
0.343051	-0.435838
0.365134	-0.430231
0.388637	-0.427400
0.413654	-0.420416
0.440281	-0.414339
0.468622	-0.404397
0.498787	-0.398561
0.530894	-0.382125
0.565068	-0.372220
0.601441	-0.358085
0.640156	-0.341343
0.681363	-0.325675
0.725223	-0.305657
0.771905	-0.285674
0.821593	-0.264371
0.874479	-0.241955
0.930770	-0.215873
0.990684	-0.191653
1.054454	-0.163892
1.122329	-0.132192
1.194574	-0.097467
1.271469	-0.055343
1.353314	0.000467
1.440427	0.080886
1.533147	0.211496
1.631836	0.344050
1.736878	0.462442
1.848681	0.624922
1.967681	0.875023
2.094341	1.278772
2.229154	1.759315
2.372645	2.347070
2.525372	3.725910
2.687931	6.697751
