# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k)-P_lin(k))/P_lin(k) [(Mpc/h)^3]
0.006330	-0.456300
0.008647	0.254214
0.010427	-0.277712
0.012573	-0.214550
0.013383	-0.259489
0.015161	-0.376610
0.017176	-0.767613
0.018281	-0.296288
0.019458	-0.455219
0.020710	-0.517683
0.022043	-0.448167
0.023462	-0.259562
0.024973	0.046242
0.026580	-0.418840
0.028291	-0.208698
0.030112	-0.483437
0.032051	-0.279582
0.034114	-0.430432
0.036310	-0.291162
0.038647	-0.288677
0.041135	-0.353062
0.043782	-0.233250
0.046601	-0.251990
0.049600	-0.224317
0.052793	-0.239396
0.056192	-0.220695
0.059809	-0.286548
0.063658	-0.272645
0.067756	-0.227898
0.072118	-0.245935
0.076760	-0.213762
0.081701	-0.250842
0.086960	-0.265218
0.092558	-0.243287
0.098516	-0.292708
0.104857	-0.264094
0.111607	-0.243783
0.118791	-0.278048
0.126437	-0.279199
0.134576	-0.264374
0.143239	-0.285289
0.152459	-0.265049
0.162273	-0.280800
0.172719	-0.292342
0.183837	-0.289674
0.195670	-0.288028
0.208266	-0.287001
0.221672	-0.285718
0.235941	-0.296636
0.251128	-0.291497
0.267293	-0.298162
0.284499	-0.304047
0.302812	-0.299056
0.322304	-0.310016
0.343051	-0.309963
0.365134	-0.309055
0.388637	-0.311621
0.413654	-0.312927
0.440281	-0.313618
0.468622	-0.311874
0.498787	-0.315906
0.530894	-0.310289
0.565068	-0.311824
0.601441	-0.310483
0.640156	-0.307699
0.681363	-0.307412
0.725223	-0.304392
0.771905	-0.302771
0.821593	-0.300708
0.874479	-0.300108
0.930770	-0.298794
0.990684	-0.300223
1.054454	-0.299062
1.122329	-0.298878
1.194574	-0.297134
1.271469	-0.291764
1.353314	-0.279862
1.440427	-0.252758
1.533147	-0.194097
1.631836	-0.134496
1.736878	-0.088796
1.848681	-0.018091
1.967681	0.099489
2.094341	0.302738
2.229154	0.546525
2.372645	0.849700
2.525372	1.589815
2.687931	3.194824
