# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k)-P_lin(k))/P_lin(k) [(Mpc/h)^3]
0.006330	-0.337459
0.008647	0.528987
0.010427	-0.119480
0.012573	-0.040337
0.013383	-0.098504
0.015161	-0.238276
0.017176	-0.715740
0.018281	-0.140650
0.019458	-0.334464
0.020710	-0.410570
0.022043	-0.327783
0.023462	-0.098481
0.024973	0.278295
0.026580	-0.292337
0.028291	-0.034894
0.030112	-0.368795
0.032051	-0.120924
0.034114	-0.305885
0.036310	-0.139369
0.038647	-0.132299
0.041135	-0.210641
0.043782	-0.062422
0.046601	-0.083927
0.049600	-0.048638
0.052793	-0.068828
0.056192	-0.045408
0.059809	-0.126615
0.063658	-0.104522
0.067756	-0.054618
0.072118	-0.076107
0.076760	-0.033931
0.081701	-0.080253
0.086960	-0.095229
0.092558	-0.068458
0.098516	-0.126633
0.104857	-0.090768
0.111607	-0.062475
0.118791	-0.099773
0.126437	-0.102610
0.134576	-0.086092
0.143239	-0.108325
0.152459	-0.082626
0.162273	-0.101501
0.172719	-0.112785
0.183837	-0.108179
0.195670	-0.104838
0.208266	-0.101865
0.221672	-0.097614
0.235941	-0.110967
0.251128	-0.105310
0.267293	-0.115237
0.284499	-0.121695
0.302812	-0.114972
0.322304	-0.133786
0.343051	-0.139572
0.365134	-0.142993
0.388637	-0.149838
0.413654	-0.157838
0.440281	-0.165814
0.468622	-0.172703
0.498787	-0.185280
0.530894	-0.193554
0.565068	-0.206765
0.601441	-0.220777
0.640156	-0.235291
0.681363	-0.251407
0.725223	-0.268663
0.771905	-0.286982
0.821593	-0.306799
0.874479	-0.329335
0.930770	-0.353009
0.990684	-0.378380
1.054454	-0.404093
1.122329	-0.431056
1.194574	-0.454825
1.271469	-0.474873
1.353314	-0.488248
1.440427	-0.488311
1.533147	-0.462002
1.631836	-0.473893
1.736878	-0.483782
1.848681	-0.432530
1.967681	-0.304003
2.094341	-0.080095
2.229154	0.119135
2.372645	0.453971
2.525372	1.513820
2.687931	3.642873
