# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k)-P_lin(k))/P_lin(k) [(Mpc/h)^3]
0.006330	-0.395525
0.008647	0.394708
0.010427	-0.196653
0.012573	-0.125484
0.013383	-0.177245
0.015161	-0.305860
0.017176	-0.741083
0.018281	-0.216744
0.019458	-0.393332
0.020710	-0.462874
0.022043	-0.386554
0.023462	-0.176975
0.024973	0.164883
0.026580	-0.354069
0.028291	-0.119703
0.030112	-0.424843
0.032051	-0.198374
0.034114	-0.366780
0.036310	-0.213181
0.038647	-0.208437
0.041135	-0.280047
0.043782	-0.145899
0.046601	-0.165988
0.049600	-0.134654
0.052793	-0.152135
0.056192	-0.131074
0.059809	-0.204614
0.063658	-0.186890
0.067756	-0.139190
0.072118	-0.158831
0.076760	-0.121846
0.081701	-0.163489
0.086960	-0.178459
0.092558	-0.153883
0.098516	-0.207951
0.104857	-0.175503
0.111607	-0.151471
0.118791	-0.187475
0.126437	-0.189429
0.134576	-0.173600
0.143239	-0.195483
0.152459	-0.172426
0.162273	-0.189802
0.172719	-0.201495
0.183837	-0.198054
0.195670	-0.195706
0.208266	-0.193902
0.221672	-0.191660
0.235941	-0.204009
0.251128	-0.198936
0.267293	-0.207452
0.284499	-0.214275
0.302812	-0.208841
0.322304	-0.224235
0.343051	-0.227344
0.365134	-0.229138
0.388637	-0.234570
0.413654	-0.240430
0.440281	-0.245463
0.468622	-0.248819
0.498787	-0.258416
0.530894	-0.260399
0.565068	-0.268815
0.601441	-0.276373
0.640156	-0.283100
0.681363	-0.292806
0.725223	-0.301403
0.771905	-0.311558
0.821593	-0.322467
0.874479	-0.335692
0.930770	-0.349491
0.990684	-0.365667
1.054454	-0.380794
1.122329	-0.397313
1.194574	-0.411678
1.271469	-0.422817
1.353314	-0.427470
1.440427	-0.418471
1.533147	-0.382649
1.631836	-0.355680
1.736878	-0.339767
1.848681	-0.295600
1.967681	-0.207199
2.094341	-0.044901
2.229154	0.149799
2.372645	0.413315
2.525372	1.069519
2.687931	2.437248
