# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.144722
0.008829	-0.136557
0.012400	-0.144087
0.013664	-0.138332
0.017415	-0.122364
0.018281	-0.146076
0.019190	-0.126526
0.022197	-0.153669
0.024459	-0.152372
0.025675	-0.165354
0.026951	-0.162928
0.028291	-0.160167
0.029698	-0.172580
0.031174	-0.176066
0.032724	-0.185921
0.034351	-0.222053
0.036059	-0.172087
0.037852	-0.186566
0.039733	-0.185791
0.041709	-0.163612
0.043782	-0.169288
0.045959	-0.187194
0.048244	-0.208750
0.050643	-0.196254
0.053160	-0.207018
0.055803	-0.235876
0.058578	-0.213677
0.061490	-0.224764
0.064547	-0.235502
0.067756	-0.226588
0.071125	-0.245952
0.074661	-0.261577
0.078373	-0.266464
0.082269	-0.283399
0.086359	-0.291018
0.090653	-0.300253
0.095160	-0.319615
0.099891	-0.324553
0.104857	-0.359275
0.110070	-0.365612
0.115543	-0.376284
0.121287	-0.389484
0.127317	-0.427380
0.133647	-0.444568
0.140291	-0.455924
0.147266	-0.479852
0.154588	-0.504246
0.162273	-0.530796
0.170341	-0.552652
0.178810	-0.578284
0.187699	-0.611104
0.197031	-0.628686
0.206827	-0.659193
0.217110	-0.682793
0.227904	-0.714381
0.239234	-0.741726
0.251128	-0.767264
0.263613	-0.796310
0.276719	-0.815652
0.290477	-0.837619
0.304919	-0.857002
0.320078	-0.878172
0.335991	-0.892344
0.352696	-0.906472
0.370231	-0.916365
0.388637	-0.926897
0.407959	-0.937636
0.428241	-0.949887
0.449532	-0.957549
0.471881	-0.963656
0.495342	-0.968012
0.519968	-0.971406
0.545820	-0.975780
0.572956	-0.980814
0.601441	-0.982001
0.631343	-0.982948
0.662731	-0.978795
0.695680	-0.921064
