# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.002161	-0.203987
0.002952	-0.207607
0.003559	-0.206628
0.004292	-0.206986
0.004568	-0.205233
0.005175	-0.206248
0.005863	-0.206723
0.006240	-0.207251
0.006642	-0.205933
0.007069	-0.206171
0.007524	-0.203800
0.008009	-0.208982
0.008524	-0.205600
0.009073	-0.204279
0.009657	-0.206538
0.010278	-0.204628
0.010940	-0.206040
0.011644	-0.203515
0.012394	-0.207198
0.013191	-0.206276
0.014041	-0.205623
0.014944	-0.208745
0.015906	-0.206813
0.016930	-0.208646
0.018020	-0.207352
0.019180	-0.208616
0.020415	-0.210078
0.021729	-0.210899
0.023127	-0.210855
0.024616	-0.211924
0.026201	-0.212225
0.027887	-0.214404
0.029682	-0.213630
0.031593	-0.216738
0.033627	-0.218333
0.035791	-0.220456
0.038095	-0.221860
0.040547	-0.222406
0.043157	-0.226595
0.045935	-0.228636
0.048892	-0.232013
0.052039	-0.235680
0.055389	-0.237083
0.058955	-0.242645
0.062750	-0.247409
0.066789	-0.251805
0.071088	-0.258576
0.075664	-0.265293
0.080534	-0.271730
0.085718	-0.279471
0.091236	-0.286967
0.097109	-0.298206
0.103360	-0.308548
0.110013	-0.317678
0.117095	-0.332567
0.124632	-0.345729
0.132655	-0.361127
0.141194	-0.377163
0.150283	-0.395206
0.159956	-0.413766
0.170253	-0.434298
0.181212	-0.456130
0.192877	-0.480346
0.205292	-0.506110
0.218507	-0.531272
0.232572	-0.559839
0.247543	-0.588985
0.263477	-0.619094
0.280437	-0.650002
0.298489	-0.682298
0.317703	-0.713998
0.338153	-0.746152
0.359920	-0.777434
0.383088	-0.807824
0.407748	-0.836160
0.433995	-0.862307
0.461931	-0.885085
0.491666	-0.904160
0.523314	-0.918705
0.557000	-0.932731
0.592854	-0.946384
0.631016	-0.957396
0.671635	-0.965991
0.714868	-0.972398
0.760884	-0.978448
0.809863	-0.983917
0.861994	-0.986786
0.917480	-0.987757
