# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.002161	-0.102544
0.002952	-0.104188
0.003559	-0.103127
0.004292	-0.104351
0.004568	-0.103110
0.005175	-0.103292
0.005863	-0.103567
0.006240	-0.103460
0.006642	-0.103257
0.007069	-0.103278
0.007524	-0.102760
0.008009	-0.104870
0.008524	-0.102984
0.009073	-0.102726
0.009657	-0.103800
0.010278	-0.103157
0.010940	-0.103783
0.011644	-0.102652
0.012394	-0.104319
0.013191	-0.103739
0.014041	-0.104023
0.014944	-0.105230
0.015906	-0.104749
0.016930	-0.105242
0.018020	-0.105067
0.019180	-0.105696
0.020415	-0.106706
0.021729	-0.107259
0.023127	-0.107570
0.024616	-0.108375
0.026201	-0.108613
0.027887	-0.109936
0.029682	-0.110084
0.031593	-0.112189
0.033627	-0.113743
0.035791	-0.115174
0.038095	-0.116580
0.040547	-0.117557
0.043157	-0.120484
0.045935	-0.122492
0.048892	-0.125299
0.052039	-0.128188
0.055389	-0.130190
0.058955	-0.134569
0.062750	-0.138860
0.066789	-0.143010
0.071088	-0.148630
0.075664	-0.154968
0.080534	-0.160696
0.085718	-0.167979
0.091236	-0.175133
0.097109	-0.185184
0.103360	-0.195154
0.110013	-0.205049
0.117095	-0.218544
0.124632	-0.232163
0.132655	-0.247622
0.141194	-0.264101
0.150283	-0.282704
0.159956	-0.302300
0.170253	-0.324535
0.181212	-0.348258
0.192877	-0.374592
0.205292	-0.402878
0.218507	-0.431844
0.232572	-0.464008
0.247543	-0.498035
0.263477	-0.533148
0.280437	-0.570056
0.298489	-0.608213
0.317703	-0.646584
0.338153	-0.685323
0.359920	-0.723488
0.383088	-0.760563
0.407748	-0.795175
0.433995	-0.827130
0.461931	-0.854950
0.491666	-0.878025
0.523314	-0.895477
0.557000	-0.915417
0.592854	-0.933176
0.631016	-0.944663
0.671635	-0.951955
0.714868	-0.957036
0.760884	-0.963991
0.809863	-0.969535
0.861994	-0.969756
0.917480	-0.967804
