# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.002161	-0.169042
0.002952	-0.171947
0.003559	-0.170739
0.004292	-0.171620
0.004568	-0.170066
0.005175	-0.170815
0.005863	-0.170876
0.006240	-0.171367
0.006642	-0.170544
0.007069	-0.170673
0.007524	-0.169026
0.008009	-0.172949
0.008524	-0.169956
0.009073	-0.169243
0.009657	-0.170876
0.010278	-0.169370
0.010940	-0.170731
0.011644	-0.168777
0.012394	-0.171662
0.013191	-0.170911
0.014041	-0.170385
0.014944	-0.173007
0.015906	-0.171425
0.016930	-0.172876
0.018020	-0.172013
0.019180	-0.172892
0.020415	-0.174459
0.021729	-0.175128
0.023127	-0.175121
0.024616	-0.176149
0.026201	-0.176439
0.027887	-0.178347
0.029682	-0.177842
0.031593	-0.180570
0.033627	-0.182177
0.035791	-0.184095
0.038095	-0.185509
0.040547	-0.186101
0.043157	-0.189950
0.045935	-0.191941
0.048892	-0.195153
0.052039	-0.198624
0.055389	-0.200159
0.058955	-0.205381
0.062750	-0.209944
0.066789	-0.214302
0.071088	-0.220744
0.075664	-0.227261
0.080534	-0.233638
0.085718	-0.241251
0.091236	-0.248781
0.097109	-0.259674
0.103360	-0.270062
0.110013	-0.279572
0.117095	-0.294204
0.124632	-0.307681
0.132655	-0.323436
0.141194	-0.339966
0.150283	-0.358642
0.159956	-0.378052
0.170253	-0.399549
0.181212	-0.422663
0.192877	-0.448328
0.205292	-0.475694
0.218507	-0.502962
0.232572	-0.533619
0.247543	-0.565380
0.263477	-0.598080
0.280437	-0.631977
0.298489	-0.667151
0.317703	-0.701906
0.338153	-0.736899
0.359920	-0.770945
0.383088	-0.803784
0.407748	-0.834124
0.433995	-0.861808
0.461931	-0.885661
0.491666	-0.905287
0.523314	-0.920068
0.557000	-0.934952
0.592854	-0.948736
0.631016	-0.959021
0.671635	-0.966658
0.714868	-0.972321
0.760884	-0.978130
0.809863	-0.983395
0.861994	-0.985872
0.917480	-0.986560
