# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.010072	-0.021269
0.010573	-0.030146
0.011098	-0.016683
0.011650	-0.018548
0.012229	-0.042866
0.012837	-0.020268
0.013476	-0.020663
0.014146	-0.026572
0.014849	-0.028201
0.015587	-0.028309
0.016362	-0.036346
0.017176	-0.027588
0.018029	-0.032014
0.018926	-0.043378
0.019867	-0.024364
0.020854	-0.048001
0.021891	-0.043660
0.022980	-0.050371
0.024122	-0.044491
0.025321	-0.050863
0.026580	-0.059926
0.027902	-0.062927
0.029289	-0.060834
0.030745	-0.066305
0.032274	-0.083199
0.033878	-0.090078
0.035562	-0.091990
0.037330	-0.093357
0.039186	-0.112500
