# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003143	0.000034
0.004415	0.000166
0.005360	0.000647
0.006200	0.000479
0.006832	0.000984
0.007528	0.001291
0.008708	0.001906
0.009141	0.002426
0.009595	0.004067
0.010072	19.085701
0.010573	8.953749
0.011098	15.928847
0.011650	18.410760
0.012229	9.499429
0.012837	15.222709
0.013476	17.450121
0.014146	22.734459
0.014849	19.390778
0.015587	21.932552
0.016362	26.682779
0.017176	23.111231
0.018029	21.913394
0.018926	20.261426
0.019867	19.782764
0.020854	27.546524
0.021891	25.453650
0.022980	27.472039
0.024122	28.009822
0.025321	30.959062
0.026580	28.045550
0.027902	32.498637
0.029289	31.709930
0.030745	32.393164
0.032274	32.102285
0.033878	31.240040
0.035562	31.381895
0.037330	32.119500
0.039186	26.480083
0.041135	0.652586
0.043180	0.701342
0.045326	0.774639
0.047580	0.810638
0.049945	0.862559
0.052429	0.801490
0.055035	0.752110
0.057771	0.727986
0.060643	0.580081
0.063658	0.487521
0.066823	0.342228
0.070146	0.234525
0.073633	0.133392
0.077294	0.072632
0.081137	0.058436
0.085170	0.056577
0.089405	0.053344
0.093850	0.050364
0.098516	0.046730
0.103413	0.045653
0.108555	0.042504
0.113952	0.041085
0.119617	0.038795
0.125564	0.035681
0.131807	0.033195
0.138360	0.030635
0.145239	0.028312
0.152459	0.025360
0.160039	0.023873
0.167996	0.022469
0.176348	0.021871
0.185115	0.021762
0.194319	0.022434
0.203980	0.017666
0.214121	0.013127
0.224766	0.010828
0.235941	0.009951
0.247671	0.010283
0.259984	0.010885
0.272910	0.010985
0.286478	0.009724
0.300721	0.011861
0.315672	0.017508
0.331366	0.025664
0.347840	0.007509
