# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.010072	-0.028262
0.010573	-0.035800
0.011098	-0.018136
0.011650	-0.024976
0.012229	-0.039142
0.012837	-0.027917
0.013476	-0.026256
0.014146	-0.030783
0.014849	-0.035394
0.015587	-0.036976
0.016362	-0.042990
0.017176	-0.032966
0.018029	-0.039320
0.018926	-0.047054
0.019867	-0.031831
0.020854	-0.054957
0.021891	-0.050729
0.022980	-0.057684
0.024122	-0.051538
0.025321	-0.056818
0.026580	-0.067023
0.027902	-0.070546
0.029289	-0.071387
0.030745	-0.074613
0.032274	-0.095452
0.033878	-0.102623
0.035562	-0.103013
0.037330	-0.104935
0.039186	-0.127578
