# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.010072	-0.038567
0.010573	-0.044431
0.011098	-0.020775
0.011650	-0.033231
0.012229	-0.044899
0.012837	-0.037956
0.013476	-0.035350
0.014146	-0.037238
0.014849	-0.044406
0.015587	-0.048502
0.016362	-0.052771
0.017176	-0.040136
0.018029	-0.049384
0.018926	-0.052631
0.019867	-0.041631
0.020854	-0.066173
0.021891	-0.061798
0.022980	-0.068403
0.024122	-0.060279
0.025321	-0.065692
0.026580	-0.076197
0.027902	-0.079710
0.029289	-0.084579
0.030745	-0.085952
0.032274	-0.110802
0.033878	-0.119037
0.035562	-0.117770
0.037330	-0.118023
0.039186	-0.144933
