# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.010072	-0.007108
0.010573	-0.016687
0.011098	-0.012521
0.011650	-0.005239
0.012229	-0.052611
0.012837	-0.004262
0.013476	-0.008020
0.014146	-0.016756
0.014849	-0.011932
0.015587	-0.009752
0.016362	-0.020351
0.017176	-0.014108
0.018029	-0.014972
0.018926	-0.033680
0.019867	-0.007026
0.020854	-0.031009
0.021891	-0.026964
0.022980	-0.031966
0.024122	-0.025934
0.025321	-0.034412
0.026580	-0.039689
0.027902	-0.043955
0.029289	-0.033533
0.030745	-0.043938
0.032274	-0.051912
0.033878	-0.058234
0.035562	-0.062126
0.037330	-0.061233
0.039186	-0.072950
