# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	0.000606
0.008829	-0.005467
0.012400	-0.005690
0.013664	-0.003925
0.017415	-0.048028
0.018281	0.001691
0.019190	0.000919
0.022197	-0.002897
0.024459	-0.008192
0.025675	-0.011896
0.026951	-0.000932
0.028291	-0.023014
0.029698	-0.023404
0.031174	-0.014524
0.032724	-0.019040
0.034351	-0.036303
0.036059	-0.015896
0.037852	-0.055645
0.039733	-0.052946
0.041709	-0.032224
0.043782	-0.015805
0.045959	-0.038519
0.048244	-0.035883
0.050643	-0.042391
0.053160	-0.058198
0.055803	-0.068304
0.058578	-0.059008
0.061490	-0.059286
0.064547	-0.074259
0.067756	-0.059515
0.071125	-0.073719
0.074661	-0.096748
0.078373	-0.102433
0.082269	-0.115347
0.086359	-0.107153
0.090653	-0.128709
0.095160	-0.129473
0.099891	-0.146750
0.104857	-0.170978
0.110070	-0.171547
0.115543	-0.203023
0.121287	-0.204821
0.127317	-0.242805
0.133647	-0.254314
0.140291	-0.260913
0.147266	-0.284850
0.154588	-0.306797
0.162273	-0.334264
0.170341	-0.353182
0.178810	-0.377086
0.187699	-0.418318
0.197031	-0.427101
0.206827	-0.462861
0.217110	-0.485990
0.227904	-0.523584
0.239234	-0.553707
0.251128	-0.584077
0.263613	-0.619671
0.276719	-0.642846
0.290477	-0.671193
0.304919	-0.699985
0.320078	-0.730101
0.335991	-0.753950
0.352696	-0.776039
0.370231	-0.794709
0.388637	-0.813295
0.407959	-0.833474
0.428241	-0.855011
0.449532	-0.867109
0.471881	-0.877318
0.495342	-0.883720
0.519968	-0.889657
0.545820	-0.896493
0.572956	-0.906570
0.601441	-0.902404
0.631343	-0.893411
0.662731	-0.861557
0.695680	-0.999290
