# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001080	-0.068863
0.001476	-0.068455
0.001780	-0.069485
0.002146	-0.068495
0.002284	-0.068931
0.002587	-0.068900
0.002931	-0.068501
0.003120	-0.068297
0.003321	-0.069773
0.003535	-0.068675
0.003762	-0.069209
0.004004	-0.068729
0.004262	-0.069462
0.004536	-0.068995
0.004828	-0.069422
0.005139	-0.068893
0.005470	-0.069635
0.005822	-0.068734
0.006197	-0.069722
0.006596	-0.070490
0.007020	-0.070594
0.007472	-0.071198
0.007953	-0.071006
0.008465	-0.071691
0.009010	-0.071590
0.009590	-0.072024
0.010207	-0.072395
0.010864	-0.072317
0.011564	-0.072677
0.012308	-0.073465
0.013100	-0.074339
0.013944	-0.074791
0.014841	-0.076187
0.015797	-0.076975
0.016813	-0.077525
0.017896	-0.079072
0.019048	-0.081027
0.020274	-0.081905
0.021579	-0.084129
0.022968	-0.085638
0.024446	-0.088120
0.026020	-0.090846
0.027695	-0.093467
0.029477	-0.096472
0.031375	-0.100064
0.033394	-0.104054
0.035544	-0.108834
0.037832	-0.113583
0.040267	-0.119221
0.042859	-0.126239
0.045618	-0.133412
0.048555	-0.141757
0.051680	-0.150684
0.055007	-0.160688
0.058547	-0.172409
0.062316	-0.184998
0.066327	-0.198928
0.070597	-0.214653
0.075141	-0.231617
0.079978	-0.250390
0.085126	-0.271276
0.090606	-0.294593
0.096438	-0.318878
0.102646	-0.345486
0.109253	-0.374997
0.116286	-0.406109
0.123771	-0.439139
0.131739	-0.474804
0.140219	-0.511571
0.149244	-0.550227
0.158851	-0.589382
0.169077	-0.629406
0.179960	-0.669544
0.191544	-0.708296
0.203874	-0.745637
0.216997	-0.779782
0.230966	-0.810394
0.245833	-0.835787
0.261657	-0.855977
0.278500	-0.875848
0.296427	-0.892328
0.315508	-0.902414
0.335818	-0.907832
0.357434	-0.910513
0.380442	-0.915037
0.404931	-0.915584
0.430997	-0.907681
0.458740	-0.897452
