# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001080	-0.000315
0.001476	-0.000152
0.001780	0.000342
0.002146	-0.000331
0.002284	-0.000233
0.002587	-0.000054
0.002931	0.000682
0.003120	-0.000117
0.003321	0.000712
0.003535	-0.000256
0.003762	-0.000738
0.004004	0.000600
0.004262	0.000115
0.004536	-0.000146
0.004828	-0.000826
0.005139	-0.000141
0.005470	-0.000831
0.005822	-0.000720
0.006197	-0.000958
0.006596	-0.000420
0.007020	-0.001107
0.007472	-0.002279
0.007953	-0.001762
0.008465	-0.002632
0.009010	-0.002149
0.009590	-0.002923
0.010207	-0.002536
0.010864	-0.003183
0.011564	-0.003419
0.012308	-0.003803
0.013100	-0.004970
0.013944	-0.005266
0.014841	-0.006424
0.015797	-0.006983
0.016813	-0.006772
0.017896	-0.008787
0.019048	-0.010387
0.020274	-0.010789
0.021579	-0.013267
0.022968	-0.014260
0.024446	-0.016090
0.026020	-0.018247
0.027695	-0.020678
0.029477	-0.023284
0.031375	-0.026489
0.033394	-0.029339
0.035544	-0.033663
0.037832	-0.037685
0.040267	-0.042282
0.042859	-0.048030
0.045618	-0.053951
0.048555	-0.061245
0.051680	-0.068514
0.055007	-0.076817
0.058547	-0.087038
0.062316	-0.097697
0.066327	-0.109409
0.070597	-0.122561
0.075141	-0.137135
0.079978	-0.153177
0.085126	-0.171136
0.090606	-0.191681
0.096438	-0.212428
0.102646	-0.235868
0.109253	-0.262153
0.116286	-0.290030
0.123771	-0.320006
0.131739	-0.352946
0.140219	-0.387278
0.149244	-0.424049
0.158851	-0.461948
0.169077	-0.501628
0.179960	-0.542295
0.191544	-0.582344
0.203874	-0.622255
0.216997	-0.659367
0.230966	-0.693606
0.245833	-0.722493
0.261657	-0.745590
0.278500	-0.761818
0.296427	-0.769283
0.315508	-0.767466
0.335818	-0.757525
0.357434	-0.740395
0.380442	-0.716417
0.404931	-0.672906
0.430997	-0.610904
0.458740	-0.550705
