# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001080	-0.138246
0.001476	-0.137370
0.001780	-0.140368
0.002146	-0.137281
0.002284	-0.138354
0.002587	-0.138589
0.002931	-0.138782
0.003120	-0.137379
0.003321	-0.141080
0.003535	-0.138148
0.003762	-0.138398
0.004004	-0.139220
0.004262	-0.139661
0.004536	-0.138690
0.004828	-0.138551
0.005139	-0.138534
0.005470	-0.139102
0.005822	-0.137583
0.006197	-0.139244
0.006596	-0.141305
0.007020	-0.140807
0.007472	-0.140764
0.007953	-0.140885
0.008465	-0.141451
0.009010	-0.141574
0.009590	-0.141699
0.010207	-0.142769
0.010864	-0.142139
0.011564	-0.142555
0.012308	-0.143789
0.013100	-0.144196
0.013944	-0.144742
0.014841	-0.146319
0.015797	-0.147322
0.016813	-0.148664
0.017896	-0.149603
0.019048	-0.151675
0.020274	-0.153036
0.021579	-0.154930
0.022968	-0.156823
0.024446	-0.159831
0.026020	-0.162984
0.027695	-0.165520
0.029477	-0.168772
0.031375	-0.172428
0.033394	-0.177416
0.035544	-0.182241
0.037832	-0.187456
0.040267	-0.193646
0.042859	-0.201550
0.045618	-0.209416
0.048555	-0.218256
0.051680	-0.228144
0.055007	-0.239242
0.058547	-0.251559
0.062316	-0.265093
0.066327	-0.280236
0.070597	-0.297301
0.075141	-0.315417
0.079978	-0.335476
0.085126	-0.357701
0.090606	-0.382027
0.096438	-0.407905
0.102646	-0.435590
0.109253	-0.466096
0.116286	-0.498056
0.123771	-0.531645
0.131739	-0.567475
0.140219	-0.604042
0.149244	-0.641972
0.158851	-0.679836
0.169077	-0.717720
0.179960	-0.755056
0.191544	-0.790395
0.203874	-0.823410
0.216997	-0.852949
0.230966	-0.878603
0.245833	-0.899233
0.261657	-0.915114
0.278500	-0.931458
0.296427	-0.945923
0.315508	-0.955835
0.335818	-0.962578
0.357434	-0.967461
0.380442	-0.973209
0.404931	-0.977960
0.430997	-0.979192
0.458740	-0.978772
