# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001080	-0.118134
0.001476	-0.117426
0.001780	-0.119792
0.002146	-0.117343
0.002284	-0.118235
0.002587	-0.118375
0.002931	-0.118424
0.003120	-0.117332
0.003321	-0.120410
0.003535	-0.117976
0.003762	-0.118361
0.004004	-0.118736
0.004262	-0.119330
0.004536	-0.118481
0.004828	-0.118542
0.005139	-0.118331
0.005470	-0.118981
0.005822	-0.117609
0.006197	-0.119088
0.006596	-0.120792
0.007020	-0.120470
0.007472	-0.120610
0.007953	-0.120654
0.008465	-0.121239
0.009010	-0.121309
0.009590	-0.121526
0.010207	-0.122411
0.010864	-0.121920
0.011564	-0.122319
0.012308	-0.123425
0.013100	-0.123993
0.013944	-0.124514
0.014841	-0.126043
0.015797	-0.126991
0.016813	-0.128097
0.017896	-0.129235
0.019048	-0.131304
0.020274	-0.132532
0.021579	-0.134529
0.022968	-0.136329
0.024446	-0.139205
0.026020	-0.142253
0.027695	-0.144848
0.029477	-0.148053
0.031375	-0.151729
0.033394	-0.156456
0.035544	-0.161322
0.037832	-0.166442
0.040267	-0.172535
0.042859	-0.180238
0.045618	-0.187977
0.048555	-0.196751
0.051680	-0.206459
0.055007	-0.217316
0.058547	-0.229582
0.062316	-0.242972
0.066327	-0.257895
0.070597	-0.274734
0.075141	-0.292671
0.079978	-0.312540
0.085126	-0.334572
0.090606	-0.358819
0.096438	-0.384463
0.102646	-0.412077
0.109253	-0.442541
0.116286	-0.474514
0.123771	-0.508194
0.131739	-0.544225
0.140219	-0.581090
0.149244	-0.619450
0.158851	-0.657879
0.169077	-0.696541
0.179960	-0.734799
0.191544	-0.771200
0.203874	-0.805478
0.216997	-0.836324
0.230966	-0.863338
0.245833	-0.885252
0.261657	-0.902285
0.278500	-0.919953
0.296427	-0.935497
0.315508	-0.945948
0.335818	-0.952845
0.357434	-0.957719
0.380442	-0.963889
0.404931	-0.968645
0.430997	-0.968901
0.458740	-0.967312
