# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.075327
0.008829	-0.078726
0.012400	-0.078418
0.013664	-0.076836
0.017415	-0.098512
0.018281	-0.072590
0.019190	-0.069943
0.022197	-0.078666
0.024459	-0.082006
0.025675	-0.085776
0.026951	-0.078442
0.028291	-0.094412
0.029698	-0.096433
0.031174	-0.091636
0.032724	-0.093473
0.034351	-0.115381
0.036059	-0.090553
0.037852	-0.118608
0.039733	-0.119961
0.041709	-0.097878
0.043782	-0.085562
0.045959	-0.109089
0.048244	-0.108544
0.050643	-0.112541
0.053160	-0.129265
0.055803	-0.139425
0.058578	-0.129503
0.061490	-0.129551
0.064547	-0.144080
0.067756	-0.130736
0.071125	-0.147589
0.074661	-0.166763
0.078373	-0.170611
0.082269	-0.182840
0.086359	-0.179707
0.090653	-0.196710
0.095160	-0.200851
0.099891	-0.216295
0.104857	-0.240049
0.110070	-0.242328
0.115543	-0.265437
0.121287	-0.271308
0.127317	-0.307632
0.133647	-0.320999
0.140291	-0.329177
0.147266	-0.353457
0.154588	-0.375867
0.162273	-0.401543
0.170341	-0.422944
0.178810	-0.447120
0.187699	-0.483588
0.197031	-0.497105
0.206827	-0.531923
0.217110	-0.556919
0.227904	-0.592533
0.239234	-0.622619
0.251128	-0.654085
0.263613	-0.688108
0.276719	-0.712467
0.290477	-0.740255
0.304919	-0.767615
0.320078	-0.795845
0.335991	-0.817843
0.352696	-0.838882
0.370231	-0.854947
0.388637	-0.870580
0.407959	-0.886961
0.428241	-0.903622
0.449532	-0.913527
0.471881	-0.921662
0.495342	-0.926982
0.519968	-0.931403
0.545820	-0.936966
0.572956	-0.944088
0.601441	-0.942662
0.631343	-0.937629
0.662731	-0.917545
0.695680	-0.998347
