# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	295.676096
0.008829	214.224794
0.010720	0.000000
0.012400	2570.743118
0.013664	352.349434
0.015056	0.000000
0.017415	32.524312
0.018281	407.947016
0.019190	578.935526
0.020144	0.000000
0.021146	0.000000
0.022197	645.427322
0.023300	0.000000
0.024459	2977.364903
0.025675	654.978148
0.026951	824.019932
0.028291	314.980768
0.029698	725.353541
0.031174	921.145563
0.032724	694.792425
0.034351	329.906226
0.036059	935.566159
0.037852	270.095007
0.039733	639.701523
0.041709	604.048583
0.043782	859.363265
0.045959	569.533820
0.048244	731.511077
0.050643	1121.148451
0.053160	538.788257
0.055803	829.702538
0.058578	551.484825
0.061490	893.239856
0.064547	734.040273
0.067756	487.982713
0.071125	670.539354
0.074661	698.026710
0.078373	749.182051
0.082269	711.269079
0.086359	588.299567
0.090653	745.207035
0.095160	649.151721
0.099891	724.923280
0.104857	742.938561
0.110070	646.968124
0.115543	639.820780
0.121287	617.631851
0.127317	584.934260
0.133647	543.392620
0.140291	549.822497
0.147266	559.587776
0.154588	541.638287
0.162273	465.120423
0.170341	516.362484
0.178810	463.148309
0.187699	424.994403
0.197031	416.776624
0.206827	381.481381
0.217110	354.173949
0.227904	354.445935
0.239234	305.669177
0.251128	311.034194
0.263613	277.254113
0.276719	267.807154
0.290477	243.339638
0.304919	231.312855
0.320078	213.407409
0.335991	199.418832
0.352696	193.227212
0.370231	188.540595
0.388637	184.191624
0.407959	182.007042
0.428241	175.782876
0.449532	181.724400
0.471881	194.440120
0.495342	216.592493
0.519968	253.780494
0.545820	305.087877
0.572956	362.204770
0.601441	483.762877
0.631343	763.694686
0.662731	1298.318960
0.695680	78.999006
