# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.168851
0.008829	-0.169739
0.012400	-0.168119
0.013664	-0.163883
0.017415	-0.193751
0.018281	-0.162799
0.019190	-0.154008
0.022197	-0.171624
0.024459	-0.172639
0.025675	-0.179120
0.026951	-0.172731
0.028291	-0.187615
0.029698	-0.194556
0.031174	-0.193469
0.032724	-0.197771
0.034351	-0.234942
0.036059	-0.188483
0.037852	-0.198507
0.039733	-0.215957
0.041709	-0.184243
0.043782	-0.170686
0.045959	-0.201806
0.048244	-0.208802
0.050643	-0.206204
0.053160	-0.230976
0.055803	-0.244076
0.058578	-0.228918
0.061490	-0.225876
0.064547	-0.244628
0.067756	-0.218483
0.071125	-0.253103
0.074661	-0.272976
0.078373	-0.266243
0.082269	-0.284908
0.086359	-0.284510
0.090653	-0.298602
0.095160	-0.310299
0.099891	-0.316526
0.104857	-0.345133
0.110070	-0.352266
0.115543	-0.366060
0.121287	-0.375738
0.127317	-0.412564
0.133647	-0.428296
0.140291	-0.433372
0.147266	-0.458119
0.154588	-0.480565
0.162273	-0.506654
0.170341	-0.530158
0.178810	-0.551957
0.187699	-0.584413
0.197031	-0.599592
0.206827	-0.632930
0.217110	-0.655575
0.227904	-0.690870
0.239234	-0.718447
0.251128	-0.744911
0.263613	-0.776217
0.276719	-0.799154
0.290477	-0.821429
0.304919	-0.845138
0.320078	-0.868280
0.335991	-0.884377
0.352696	-0.901983
0.370231	-0.913451
0.388637	-0.925414
0.407959	-0.935836
0.428241	-0.947554
0.449532	-0.955136
0.471881	-0.962047
0.495342	-0.966983
0.519968	-0.971441
0.545820	-0.976233
0.572956	-0.981007
0.601441	-0.983150
0.631343	-0.985290
0.662731	-0.984015
0.695680	-0.905743
