# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	1581.789914
0.008829	1149.046536
0.010720	0.000000
0.012400	13811.085648
0.013664	1899.345102
0.015056	0.000000
0.017415	173.124921
0.018281	2191.814355
0.019190	3134.217033
0.020144	0.000000
0.021146	0.000000
0.022197	3453.822798
0.023300	0.000000
0.024459	15970.892411
0.025675	3500.224450
0.026951	4402.545254
0.028291	1681.734829
0.029698	3848.283726
0.031174	4867.784851
0.032724	3659.439404
0.034351	1698.128953
0.036059	4968.634941
0.037852	1461.805759
0.039733	3392.009025
0.041709	3250.942754
0.043782	4638.565174
0.045959	3036.936713
0.048244	3864.100975
0.050643	5968.506749
0.053160	2832.135365
0.055803	4337.644585
0.058578	2907.424777
0.061490	4727.994980
0.064547	3855.578788
0.067756	2611.155694
0.071125	3496.857818
0.074661	3624.884887
0.078373	3944.784703
0.082269	3704.514501
0.086359	3054.040491
0.090653	3872.675739
0.095160	3334.427857
0.099891	3762.733073
0.104857	3810.328377
0.110070	3291.851372
0.115543	3286.390907
0.121287	3149.158628
0.127317	2953.744071
0.133647	2723.055650
0.140291	2764.105336
0.147266	2791.364002
0.154588	2682.906701
0.162273	2282.058462
0.170341	2502.247861
0.178810	2233.837057
0.187699	2035.593475
0.197031	1975.016098
0.206827	1780.522123
0.217110	1638.588633
0.227904	1600.443684
0.239234	1357.293378
0.251128	1365.126857
0.263613	1183.973969
0.276719	1113.371651
0.290477	995.681634
0.304919	917.444180
0.320078	819.486864
0.335991	753.363293
0.352696	699.626538
0.370231	669.553162
0.388637	631.783584
0.407959	614.885286
0.428241	569.321285
0.449532	561.143809
0.471881	560.663677
0.495342	582.889660
0.519968	628.837101
0.545820	684.659483
0.572956	732.277147
0.601441	846.118920
0.631343	1071.999265
0.662731	1498.010114
0.695680	26807.076864
