# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	731.480190
0.034951	1411.596580
0.043030	574.154913
0.048748	201.040362
0.055226	469.614258
0.060016	479.824455
0.067991	730.068882
0.073889	795.359257
0.077026	512.474717
0.080297	393.277085
0.083707	866.085866
0.087262	1175.746098
0.090968	531.909671
0.098858	264.500579
0.103056	682.279750
0.107432	1217.946932
0.111994	599.058282
0.116750	488.970025
0.121708	638.602896
0.126876	650.208841
0.132264	563.730339
0.137881	425.229410
0.143736	710.824115
0.149840	639.436404
0.156203	434.320997
0.162837	456.733407
0.169751	355.599508
0.176960	505.406098
0.184475	428.926008
0.192309	380.406635
0.200475	336.107188
0.208989	359.522116
0.217863	358.338827
0.227115	353.476517
0.236760	322.771210
0.246814	304.397414
0.257295	285.534622
0.268221	283.583345
0.279612	237.542825
0.291486	223.846973
0.303864	206.509692
0.316767	203.454106
0.330219	170.332389
0.344242	159.392838
0.358861	140.018804
0.374100	142.038360
0.389987	124.018919
0.406548	108.669756
0.423812	98.898342
0.441809	89.622475
0.460571	79.406982
0.480130	67.846827
0.500519	62.983593
0.521774	55.585769
0.543931	49.129716
0.567030	42.821455
0.591109	38.130037
0.616211	33.754671
0.642379	29.433316
0.669658	25.695083
0.698095	23.090189
0.727741	20.979824
0.758645	19.295635
0.790861	18.115291
0.824446	16.576750
0.859456	14.935055
0.895954	14.559086
0.934001	14.933691
0.973664	16.261422
1.015012	17.951660
1.058115	19.926904
1.103048	20.680195
1.149890	21.480762
1.198721	27.061235
1.249626	34.310776
1.302692	53.233152
1.358012	142.927732
