# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.004322	-0.000142
0.005903	-0.000357
0.007118	0.000119
0.008583	-0.001013
0.009136	0.000316
0.010350	-0.000921
0.011725	-0.001071
0.012480	0.000399
0.013283	-0.001439
0.014138	0.000622
0.015048	-0.000122
0.016017	-0.000443
0.017048	-0.000710
0.018145	-0.000054
0.019313	-0.001241
0.020557	0.000159
0.021880	-0.000914
0.023288	-0.000232
0.024787	-0.001598
0.026383	-0.001517
0.028081	-0.000947
0.029889	-0.000410
0.031813	-0.000926
0.033861	-0.002791
0.036040	-0.001789
0.038360	-0.002201
0.040829	-0.002100
0.043458	-0.004452
0.046255	-0.004037
0.049232	-0.004291
0.052401	-0.003903
0.055774	-0.004634
0.059365	-0.006582
0.063186	-0.006837
0.067253	-0.007493
0.071582	-0.009069
0.076190	-0.009319
0.081095	-0.010424
0.086315	-0.012943
0.091871	-0.014211
0.097784	-0.014969
0.104079	-0.018909
0.110778	-0.020980
0.117909	-0.020750
0.125499	-0.026100
0.133578	-0.027880
0.142176	-0.030624
0.151328	-0.036222
0.161069	-0.040502
0.171437	-0.045428
0.182472	-0.050792
0.194218	-0.056712
0.206720	-0.062744
0.220027	-0.071147
0.234190	-0.078543
0.249265	-0.088027
0.265310	-0.097883
0.282388	-0.108439
0.300565	-0.120768
0.319913	-0.134791
0.340505	-0.150350
0.362424	-0.166687
0.385753	-0.183044
0.410584	-0.202067
0.437013	-0.222535
0.465144	-0.245886
0.495085	-0.269677
0.526954	-0.296661
0.560874	-0.324952
0.596978	-0.355688
0.635405	-0.387633
0.676307	-0.421872
0.719841	-0.459128
0.766177	-0.496703
0.815496	-0.535829
0.867989	-0.574946
0.923862	-0.613054
0.983331	-0.647478
1.046628	-0.675506
1.114000	-0.699605
1.185708	-0.715900
1.262033	-0.723103
1.343270	-0.722111
1.429737	-0.711194
1.521769	-0.689035
1.619726	-0.652701
1.723988	-0.594405
1.834961	-0.524258
