# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.004322	-0.267855
0.005903	-0.267185
0.007118	-0.268199
0.008583	-0.265076
0.009136	-0.266522
0.010350	-0.266931
0.011725	-0.265868
0.012480	-0.267661
0.013283	-0.267119
0.014138	-0.263521
0.015048	-0.265171
0.016017	-0.269635
0.017048	-0.267450
0.018145	-0.266667
0.019313	-0.268633
0.020557	-0.271692
0.021880	-0.266297
0.023288	-0.268172
0.024787	-0.271549
0.026383	-0.266355
0.028081	-0.273698
0.029889	-0.268698
0.031813	-0.270599
0.033861	-0.269356
0.036040	-0.276330
0.038360	-0.270461
0.040829	-0.274575
0.043458	-0.276138
0.046255	-0.276250
0.049232	-0.276808
0.052401	-0.279908
0.055774	-0.276482
0.059365	-0.279913
0.063186	-0.283096
0.067253	-0.284381
0.071582	-0.290025
0.076190	-0.286758
0.081095	-0.292041
0.086315	-0.295150
0.091871	-0.300969
0.097784	-0.299716
0.104079	-0.308858
0.110778	-0.311742
0.117909	-0.312400
0.125499	-0.321689
0.133578	-0.322478
0.142176	-0.328161
0.151328	-0.338299
0.161069	-0.344177
0.171437	-0.348121
0.182472	-0.355653
0.194218	-0.365725
0.206720	-0.373065
0.220027	-0.384417
0.234190	-0.392692
0.249265	-0.404222
0.265310	-0.414328
0.282388	-0.424985
0.300565	-0.438165
0.319913	-0.451170
0.340505	-0.467372
0.362424	-0.480365
0.385753	-0.494430
0.410584	-0.511224
0.437013	-0.528491
0.465144	-0.547158
0.495085	-0.567528
0.526954	-0.589251
0.560874	-0.612363
0.596978	-0.636643
0.635405	-0.663133
0.676307	-0.690232
0.719841	-0.718964
0.766177	-0.747328
0.815496	-0.776393
0.867989	-0.803770
0.923862	-0.830178
0.983331	-0.852876
1.046628	-0.871351
1.114000	-0.890072
1.185708	-0.909905
1.262033	-0.927436
1.343270	-0.941856
1.429737	-0.952874
1.521769	-0.963211
1.619726	-0.972858
1.723988	-0.978000
1.834961	-0.979632
