# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003165	9.885358
0.004324	7.901791
0.005214	7.769998
0.006287	11.122685
0.006691	9.175241
0.007580	8.155742
0.008588	4.268135
0.009141	7.877212
0.009729	20.226843
0.010355	10.492348
0.011022	22.042795
0.011731	10.760786
0.012486	22.116527
0.013290	14.336499
0.014146	20.009891
0.015056	21.667624
0.016025	23.039511
0.017057	22.137097
0.018155	22.887504
0.019323	23.643309
0.020567	31.613681
0.021891	27.252080
0.023300	29.521177
0.024800	27.160179
0.026397	28.541837
0.028096	31.902863
0.029904	30.387628
0.031829	31.415347
0.033878	33.658778
0.036059	35.119403
0.038380	36.971129
0.040850	35.799437
0.043480	36.019506
0.046279	37.726200
0.049258	37.572596
0.052429	36.982839
0.055803	37.371288
0.059395	39.078395
0.063219	37.449929
0.067288	37.390094
0.071619	36.942551
0.076230	37.176777
0.081137	35.757044
0.086359	36.788844
0.091918	35.353895
0.097835	34.638584
0.104133	33.692279
0.110836	32.244191
0.117970	31.133299
0.125564	29.715999
0.133647	28.820423
0.142250	26.785512
0.151406	25.415128
0.161152	23.983543
0.171526	22.521533
0.182567	20.799423
0.194319	19.348797
0.206827	17.928696
0.220140	16.506136
0.234311	15.054048
0.249394	13.788544
0.265447	12.468375
0.282534	11.259612
0.300721	10.131390
0.320078	9.052735
0.340682	8.085695
0.362611	7.203926
0.385953	6.364390
0.410797	5.621379
0.437240	4.933496
0.465385	4.329473
0.495342	3.781048
0.527227	3.298256
0.561165	2.884833
0.597287	2.544092
0.635734	2.268651
0.676657	2.063790
0.720213	1.945437
0.766574	1.923986
0.815918	1.829495
0.868439	1.747559
0.924340	1.782947
0.983840	1.932299
1.047170	2.219121
1.114577	2.518603
1.186322	2.950572
1.262686	3.994114
1.343966	5.904190
