# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000136
0.004324	0.000085
0.005214	-0.001140
0.006287	-0.000268
0.006691	-0.000564
0.007580	-0.001067
0.008588	0.002530
0.009141	-0.005555
0.009729	0.001920
0.010355	-0.000226
0.011022	-0.000950
0.011731	-0.000702
0.012486	-0.001664
0.013290	-0.001861
0.014146	-0.002464
0.015056	-0.001611
0.016025	-0.002980
0.017057	-0.003507
0.018155	-0.005749
0.019323	-0.003132
0.020567	-0.002401
0.021891	-0.004243
0.023300	-0.007237
0.024800	-0.005732
0.026397	-0.006748
0.028096	-0.010015
0.029904	-0.010158
0.031829	-0.012298
0.033878	-0.012380
0.036059	-0.014500
0.038380	-0.016958
0.040850	-0.019018
0.043480	-0.022535
0.046279	-0.025097
0.049258	-0.028082
0.052429	-0.033564
0.055803	-0.036281
0.059395	-0.039089
0.063219	-0.046025
0.067288	-0.050284
0.071619	-0.057256
0.076230	-0.063259
0.081137	-0.069418
0.086359	-0.077667
0.091918	-0.090285
0.097835	-0.094221
0.104133	-0.107414
0.110836	-0.122173
0.117970	-0.132805
0.125564	-0.145715
0.133647	-0.161606
0.142250	-0.177756
0.151406	-0.196624
0.161152	-0.216779
0.171526	-0.235133
0.182567	-0.257589
0.194319	-0.280104
0.206827	-0.302072
0.220140	-0.325437
0.234311	-0.353259
0.249394	-0.376035
0.265447	-0.405059
0.282534	-0.432145
0.300721	-0.461273
0.320078	-0.491826
0.340682	-0.520707
0.362611	-0.549538
0.385953	-0.580535
0.410797	-0.610761
0.437240	-0.642894
0.465385	-0.673132
0.495342	-0.704790
0.527227	-0.735513
0.561165	-0.765079
0.597287	-0.792252
0.635734	-0.817482
0.676657	-0.839518
0.720213	-0.857636
0.766574	-0.871385
0.815918	-0.891833
0.868439	-0.911122
0.924340	-0.924543
0.983840	-0.934339
1.047170	-0.942110
1.114577	-0.951951
1.186322	-0.961095
1.262686	-0.964833
1.343966	-0.964580
