# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000062
0.004324	0.000043
0.005214	-0.000425
0.006287	-0.000078
0.006691	-0.000217
0.007580	-0.000556
0.008588	0.001149
0.009141	-0.002426
0.009729	0.000940
0.010355	-0.000062
0.011022	-0.000514
0.011731	-0.000257
0.012486	-0.000774
0.013290	-0.000773
0.014146	-0.000979
0.015056	-0.000701
0.016025	-0.000995
0.017057	-0.001181
0.018155	-0.002288
0.019323	-0.000883
0.020567	-0.000689
0.021891	-0.001481
0.023300	-0.002777
0.024800	-0.002002
0.026397	-0.002212
0.028096	-0.003890
0.029904	-0.003693
0.031829	-0.004699
0.033878	-0.004574
0.036059	-0.005182
0.038380	-0.005942
0.040850	-0.007251
0.043480	-0.008601
0.046279	-0.009585
0.049258	-0.010818
0.052429	-0.012956
0.055803	-0.014027
0.059395	-0.014941
0.063219	-0.018044
0.067288	-0.019765
0.071619	-0.022539
0.076230	-0.025039
0.081137	-0.027524
0.086359	-0.030741
0.091918	-0.036599
0.097835	-0.038157
0.104133	-0.044051
0.110836	-0.050913
0.117970	-0.055578
0.125564	-0.061862
0.133647	-0.069755
0.142250	-0.078276
0.151406	-0.087800
0.161152	-0.098417
0.171526	-0.108867
0.182567	-0.122151
0.194319	-0.135642
0.206827	-0.149568
0.220140	-0.164848
0.234311	-0.184064
0.249394	-0.200702
0.265447	-0.222542
0.282534	-0.244287
0.300721	-0.268034
0.320078	-0.294864
0.340682	-0.321102
0.362611	-0.349179
0.385953	-0.380220
0.410797	-0.411303
0.437240	-0.446290
0.465385	-0.480946
0.495342	-0.518211
0.527227	-0.556623
0.561165	-0.595487
0.597287	-0.634442
0.635734	-0.673508
0.676657	-0.709972
0.720213	-0.743044
0.766574	-0.769930
0.815918	-0.802642
0.868439	-0.833305
0.924340	-0.854180
0.983840	-0.867597
1.047170	-0.876556
1.114577	-0.889311
1.186322	-0.899810
1.262686	-0.896214
1.343966	-0.883255
