# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000149
0.004324	0.000066
0.005214	-0.001441
0.006287	-0.000395
0.006691	-0.000776
0.007580	-0.001404
0.008588	0.002924
0.009141	-0.006905
0.009729	0.002156
0.010355	-0.000475
0.011022	-0.001383
0.011731	-0.001101
0.012486	-0.002315
0.013290	-0.002569
0.014146	-0.003366
0.015056	-0.002374
0.016025	-0.004100
0.017057	-0.004784
0.018155	-0.007572
0.019323	-0.004504
0.020567	-0.003691
0.021891	-0.006030
0.023300	-0.009787
0.024800	-0.008096
0.026397	-0.009455
0.028096	-0.013584
0.029904	-0.013911
0.031829	-0.016709
0.033878	-0.017036
0.036059	-0.019897
0.038380	-0.023121
0.040850	-0.025922
0.043480	-0.030539
0.046279	-0.033972
0.049258	-0.038044
0.052429	-0.045122
0.055803	-0.048885
0.059395	-0.052892
0.063219	-0.061854
0.067288	-0.067626
0.071619	-0.076758
0.076230	-0.084847
0.081137	-0.093004
0.086359	-0.103864
0.091918	-0.119805
0.097835	-0.125605
0.104133	-0.142371
0.110836	-0.160944
0.117970	-0.174781
0.125564	-0.191121
0.133647	-0.210918
0.142250	-0.230710
0.151406	-0.253771
0.161152	-0.278301
0.171526	-0.300100
0.182567	-0.326299
0.194319	-0.352816
0.206827	-0.378141
0.220140	-0.404766
0.234311	-0.435512
0.249394	-0.461082
0.265447	-0.492344
0.282534	-0.521179
0.300721	-0.551784
0.320078	-0.582977
0.340682	-0.612624
0.362611	-0.641417
0.385953	-0.671586
0.410797	-0.700934
0.437240	-0.730700
0.465385	-0.758403
0.495342	-0.786374
0.527227	-0.812754
0.561165	-0.837195
0.597287	-0.858968
0.635734	-0.878382
0.676657	-0.894647
0.720213	-0.907452
0.766574	-0.916709
0.815918	-0.929227
0.868439	-0.941177
0.924340	-0.949556
0.983840	-0.955866
1.047170	-0.960850
1.114577	-0.966887
1.186322	-0.972927
1.262686	-0.975812
1.343966	-0.976065
