# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003165	0.029604
0.004324	0.023664
0.005214	0.023298
0.006287	0.033323
0.006691	0.027496
0.007580	0.024445
0.008588	0.012758
0.009141	0.023710
0.009729	0.060491
0.010355	0.031437
0.011022	0.066063
0.011731	0.032254
0.012486	0.066342
0.013290	0.043013
0.014146	0.060081
0.015056	0.064992
0.016025	0.069248
0.017057	0.066565
0.018155	0.068949
0.019323	0.071099
0.020567	0.094984
0.021891	0.082017
0.023300	0.089088
0.024800	0.081867
0.026397	0.086170
0.028096	0.096568
0.029904	0.092047
0.031829	0.095325
0.033878	0.102189
0.036059	0.106933
0.038380	0.112892
0.040850	0.109448
0.043480	0.110530
0.046279	0.116089
0.049258	0.115990
0.052429	0.114855
0.055803	0.116400
0.059395	0.122169
0.063219	0.117875
0.067288	0.118253
0.071619	0.117747
0.076230	0.119294
0.081137	0.115541
0.086359	0.120040
0.091918	0.116875
0.097835	0.115126
0.104133	0.113603
0.110836	0.110494
0.117970	0.108105
0.125564	0.104689
0.133647	0.103365
0.142250	0.097832
0.151406	0.094925
0.161152	0.091738
0.171526	0.088030
0.182567	0.083423
0.194319	0.079760
0.206827	0.075890
0.220140	0.071934
0.234311	0.067847
0.249394	0.063976
0.265447	0.060006
0.282534	0.056108
0.300721	0.052501
0.320078	0.048850
0.340682	0.045471
0.362611	0.042180
0.385953	0.039014
0.410797	0.036177
0.437240	0.033437
0.465385	0.030905
0.495342	0.028607
0.527227	0.026486
0.561165	0.024614
0.597287	0.022963
0.635734	0.021582
0.676657	0.020548
0.720213	0.019997
0.766574	0.020168
0.815918	0.020638
0.868439	0.021981
0.924340	0.025114
0.983840	0.030919
1.047170	0.041044
1.114577	0.057662
1.186322	0.089747
1.262686	0.157286
1.343966	0.283599
