# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000091
0.004324	0.000063
0.005214	-0.000645
0.006287	-0.000098
0.006691	-0.000296
0.007580	-0.000603
0.008588	0.001618
0.009141	-0.003307
0.009729	0.001302
0.010355	-0.000033
0.011022	-0.000442
0.011731	-0.000270
0.012486	-0.000862
0.013290	-0.000910
0.014146	-0.001260
0.015056	-0.000740
0.016025	-0.001508
0.017057	-0.001725
0.018155	-0.003133
0.019323	-0.001429
0.020567	-0.000953
0.021891	-0.002000
0.023300	-0.003767
0.024800	-0.002739
0.026397	-0.003253
0.028096	-0.005209
0.029904	-0.005186
0.031829	-0.006345
0.033878	-0.006259
0.036059	-0.007386
0.038380	-0.008643
0.040850	-0.009799
0.043480	-0.011726
0.046279	-0.013057
0.049258	-0.014615
0.052429	-0.017705
0.055803	-0.019068
0.059395	-0.020415
0.063219	-0.024372
0.067288	-0.026597
0.071619	-0.030469
0.076230	-0.033669
0.081137	-0.037020
0.086359	-0.041506
0.091918	-0.049002
0.097835	-0.050913
0.104133	-0.058568
0.110836	-0.067374
0.117970	-0.073484
0.125564	-0.081278
0.133647	-0.091055
0.142250	-0.101519
0.151406	-0.113486
0.161152	-0.126422
0.171526	-0.139052
0.182567	-0.154796
0.194319	-0.170470
0.206827	-0.186548
0.220140	-0.204040
0.234311	-0.225791
0.249394	-0.243825
0.265447	-0.267842
0.282534	-0.291270
0.300721	-0.316687
0.320078	-0.344835
0.340682	-0.371847
0.362611	-0.400109
0.385953	-0.431183
0.410797	-0.461836
0.437240	-0.496201
0.465385	-0.529245
0.495342	-0.565050
0.527227	-0.600889
0.561165	-0.637042
0.597287	-0.672150
0.635734	-0.707031
0.676657	-0.739178
0.720213	-0.767735
0.766574	-0.790620
0.815918	-0.822285
0.868439	-0.852091
0.924340	-0.872616
0.983840	-0.886776
1.047170	-0.897911
1.114577	-0.915223
1.186322	-0.930307
1.262686	-0.933066
1.343966	-0.929044
