# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000110
0.004324	0.000079
0.005214	-0.000800
0.006287	-0.000136
0.006691	-0.000365
0.007580	-0.000727
0.008588	0.001942
0.009141	-0.003997
0.009729	0.001522
0.010355	-0.000053
0.011022	-0.000550
0.011731	-0.000362
0.012486	-0.001059
0.013290	-0.001165
0.014146	-0.001576
0.015056	-0.000939
0.016025	-0.001899
0.017057	-0.002221
0.018155	-0.003866
0.019323	-0.001863
0.020567	-0.001286
0.021891	-0.002567
0.023300	-0.004713
0.024800	-0.003511
0.026397	-0.004176
0.028096	-0.006492
0.029904	-0.006510
0.031829	-0.007948
0.033878	-0.007871
0.036059	-0.009274
0.038380	-0.010896
0.040850	-0.012236
0.043480	-0.014631
0.046279	-0.016305
0.049258	-0.018233
0.052429	-0.022006
0.055803	-0.023730
0.059395	-0.025425
0.063219	-0.030234
0.067288	-0.032969
0.071619	-0.037719
0.076230	-0.041638
0.081137	-0.045769
0.086359	-0.051306
0.091918	-0.060262
0.097835	-0.062599
0.104133	-0.071850
0.110836	-0.082367
0.117970	-0.089689
0.125564	-0.098901
0.133647	-0.110387
0.142250	-0.122481
0.151406	-0.136448
0.161152	-0.151504
0.171526	-0.165785
0.182567	-0.183573
0.194319	-0.201207
0.206827	-0.219027
0.220140	-0.238280
0.234311	-0.261938
0.249394	-0.281280
0.265447	-0.306899
0.282534	-0.331473
0.300721	-0.358082
0.320078	-0.387134
0.340682	-0.414657
0.362611	-0.443098
0.385953	-0.474206
0.410797	-0.504683
0.437240	-0.538468
0.465385	-0.570545
0.495342	-0.605135
0.527227	-0.639335
0.561165	-0.673380
0.597287	-0.705720
0.635734	-0.737210
0.676657	-0.765736
0.720213	-0.790476
0.766574	-0.810035
0.815918	-0.839198
0.868439	-0.866736
0.924340	-0.885707
0.983840	-0.899142
1.047170	-0.909826
1.114577	-0.925838
1.186322	-0.939761
1.262686	-0.943539
1.343966	-0.941262
