# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003165	3.614876
0.004324	2.889675
0.005214	2.843265
0.006287	4.068551
0.006691	3.356712
0.007580	2.984526
0.008588	1.559303
0.009141	2.889085
0.009729	7.392150
0.010355	3.838609
0.011022	8.067640
0.011731	3.938063
0.012486	8.098063
0.013290	5.250155
0.014146	7.330640
0.015056	7.935119
0.016025	8.444027
0.017057	8.116253
0.018155	8.401075
0.019323	8.669159
0.020567	11.588848
0.021891	10.000649
0.023300	10.851030
0.024800	9.978222
0.026397	10.493197
0.028096	11.750564
0.029904	11.195975
0.031829	11.590753
0.033878	12.423578
0.036059	12.982154
0.038380	13.689307
0.040850	13.275574
0.043480	13.388266
0.046279	14.048544
0.049258	14.023033
0.052429	13.851795
0.055803	14.027898
0.059395	14.705177
0.063219	14.156811
0.067288	14.181588
0.071619	14.080914
0.076230	14.237228
0.081137	13.757131
0.086359	14.242500
0.091918	13.803292
0.097835	13.579867
0.104133	13.334200
0.110836	12.895776
0.117970	12.559242
0.125564	12.105889
0.133647	11.882212
0.142250	11.173375
0.151406	10.755398
0.161152	10.311574
0.171526	9.816520
0.182567	9.217630
0.194319	8.733292
0.206827	8.233991
0.220140	7.724515
0.234311	7.197958
0.249394	6.724699
0.265447	6.225223
0.282534	5.748929
0.300721	5.306151
0.320078	4.865220
0.340682	4.468001
0.362611	4.091438
0.385953	3.726220
0.410797	3.404683
0.437240	3.091988
0.465385	2.814356
0.495342	2.555788
0.527227	2.323242
0.561165	2.116477
0.597287	1.941304
0.635734	1.792649
0.676657	1.678188
0.720213	1.610646
0.766574	1.604707
0.815918	1.520102
0.868439	1.447828
0.924340	1.477294
0.983840	1.614828
1.047170	1.869176
1.114577	2.062819
1.186322	2.400825
1.262686	3.409511
1.343966	5.298551
