# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000062
0.004324	0.000012
0.005214	-0.000291
0.006287	-0.000077
0.006691	-0.000168
0.007580	-0.000640
0.008588	0.000943
0.009141	-0.001926
0.009729	0.000697
0.010355	-0.000056
0.011022	-0.000702
0.011731	-0.000300
0.012486	-0.000750
0.013290	-0.000824
0.014146	-0.000833
0.015056	-0.000873
0.016025	-0.000564
0.017057	-0.000801
0.018155	-0.001753
0.019323	-0.000460
0.020567	-0.000517
0.021891	-0.001184
0.023300	-0.002246
0.024800	-0.001714
0.026397	-0.001482
0.028096	-0.003053
0.029904	-0.002674
0.031829	-0.003780
0.033878	-0.003565
0.036059	-0.003576
0.038380	-0.004027
0.040850	-0.005669
0.043480	-0.006704
0.046279	-0.007467
0.049258	-0.008457
0.052429	-0.009844
0.055803	-0.010863
0.059395	-0.011378
0.063219	-0.014064
0.067288	-0.015418
0.071619	-0.017468
0.076230	-0.019503
0.081137	-0.021445
0.086359	-0.023684
0.091918	-0.028440
0.097835	-0.029654
0.104133	-0.034468
0.110836	-0.039971
0.117970	-0.043254
0.125564	-0.048516
0.133647	-0.055066
0.142250	-0.061842
0.151406	-0.069396
0.161152	-0.078279
0.171526	-0.086571
0.182567	-0.097791
0.194319	-0.109229
0.206827	-0.121111
0.220140	-0.133867
0.234311	-0.150551
0.249394	-0.165115
0.265447	-0.184241
0.282534	-0.203323
0.300721	-0.224479
0.320078	-0.248640
0.340682	-0.272625
0.362611	-0.298977
0.385953	-0.327812
0.410797	-0.357363
0.437240	-0.390586
0.465385	-0.424181
0.495342	-0.460330
0.527227	-0.497952
0.561165	-0.536185
0.597287	-0.574966
0.635734	-0.613688
0.676657	-0.649764
0.720213	-0.682363
0.766574	-0.708487
0.815918	-0.733430
0.868439	-0.752965
0.924340	-0.762755
0.983840	-0.764208
1.047170	-0.758226
1.114577	-0.746877
1.186322	-0.725042
1.262686	-0.681968
1.343966	-0.616126
