# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000062
0.004324	0.000027
0.005214	-0.000357
0.006287	-0.000077
0.006691	-0.000192
0.007580	-0.000598
0.008588	0.001043
0.009141	-0.002176
0.009729	0.000818
0.010355	-0.000059
0.011022	-0.000608
0.011731	-0.000279
0.012486	-0.000763
0.013290	-0.000798
0.014146	-0.000906
0.015056	-0.000786
0.016025	-0.000779
0.017057	-0.000992
0.018155	-0.002021
0.019323	-0.000672
0.020567	-0.000603
0.021891	-0.001333
0.023300	-0.002511
0.024800	-0.001857
0.026397	-0.001848
0.028096	-0.003472
0.029904	-0.003186
0.031829	-0.004242
0.033878	-0.004071
0.036059	-0.004382
0.038380	-0.004988
0.040850	-0.006464
0.043480	-0.007657
0.046279	-0.008531
0.049258	-0.009645
0.052429	-0.011410
0.055803	-0.012457
0.059395	-0.013172
0.063219	-0.016072
0.067288	-0.017613
0.071619	-0.020032
0.076230	-0.022306
0.081137	-0.024529
0.086359	-0.027266
0.091918	-0.032586
0.097835	-0.033986
0.104133	-0.039362
0.110836	-0.045564
0.117970	-0.049566
0.125564	-0.055374
0.133647	-0.062633
0.142250	-0.070335
0.151406	-0.078931
0.161152	-0.088746
0.171526	-0.098197
0.182567	-0.110553
0.194319	-0.123120
0.206827	-0.136155
0.220140	-0.150324
0.234311	-0.168451
0.249394	-0.184237
0.265447	-0.204950
0.282534	-0.225624
0.300721	-0.248351
0.320078	-0.274167
0.340682	-0.299617
0.362611	-0.327185
0.385953	-0.357531
0.410797	-0.388253
0.437240	-0.422776
0.465385	-0.457339
0.495342	-0.494460
0.527227	-0.532896
0.561165	-0.571838
0.597287	-0.611077
0.635734	-0.650333
0.676657	-0.686952
0.720213	-0.720142
0.766574	-0.747067
0.815918	-0.777356
0.868439	-0.804587
0.924340	-0.822063
0.983840	-0.831804
1.047170	-0.836180
1.114577	-0.841772
1.186322	-0.843022
1.262686	-0.827607
1.343966	-0.797840
